figi,lot,percentage,price
BBG00F6NKQX3,1.0,11.336638714889204,3088.0
RUB000UTSTOM,2.0,0.3668392010320305,1.0
BBG004731032,1.0,14.803619992859897,5376.5
BBG004S682Z6,10.0,3.4045710259781012,74.19
BBG004S68BH6,1.0,13.08045457938803,712.6
BBG006L8G4H1,1.0,12.924428949406558,2347.0
BBG004PYF2N3,1.0,4.515565291228537,615.0
BBG000R04X57,10.0,5.044216837518707,91.6
BBG0013HRTL0,1.0,1.5793464945418834,11.472
BBG00V9V16J8,1.0,0.004233801359438464,1.318
BBG004730N88,10.0,16.765412840421074,243.56
BBG008F2T3T2,10.0,1.8133390496229231,39.515
BBG00475K6C3,1.0,2.3807675539526065,1037.6
BBG004731354,1.0,11.980565667800981,466.2
